Sample	avg_input_read_length	uniquely_mapped_percent	num_GTAG_splices	uniquely_mapped	deletion_rate	mismatch_rate	insertion_length	unmapped_tooshort	multimapped_toomany_percent	unmapped_other	avg_mapped_read_length	num_splices	unmapped_tooshort_percent	multimapped	total_reads	num_noncanonical_splices	num_ATAC_splices	num_annotated_splices	unmapped_mismatches_percent	unmapped_other_percent	deletion_length	multimapped_toomany	unmapped_mismatches	insertion_rate	num_GCAG_splices	multimapped_percent
SRR6703971_time_103SR_1_val_1	101.0	85.15	3716112.0	15469453.0	0.0	0.16	1.34	327138	0.21	21809	101.1	3751825.0	1.8	2312206.0	18168114.0	5823.0	3195.0	3710193.0	0.0	0.12	1.5	37508.0	0	0.0	26695.0	12.73
SRR6703972_time_103FR_1_val_1	49.0	80.63	1755548.0	16456093.0	0.0	0.18	1.31	71100	0.79	99541	49.49	1773045.0	0.35	3620628.0	20408445.0	3133.0	1662.0	1750142.0	0.0	0.49	1.49	161083.0	0	0.0	12702.0	17.74
SRR6703973_time_104SR_1_val_1	101.0	82.81	4883773.0	20023390.0	0.01	0.16	1.29	484352	0.18	26639	101.08	4927985.0	2.0	3601989.0	24180386.0	6844.0	3933.0	4869705.0	0.0	0.11	1.48	44016.0	0	0.0	33435.0	14.9
SRR6703974_time_104FR_1_val_1	99.0	82.71	4974697.0	20904412.0	0.0	0.15	1.28	610303	0.18	27856	99.14	5019786.0	2.41	3687945.0	25274915.0	6722.0	4134.0	4963263.0	0.0	0.11	1.49	44399.0	0	0.0	34233.0	14.59
SRR6703975_time_107SR_1_val_1	101.0	85.75	6110835.0	20851231.0	0.0	0.15	1.28	402357	0.14	24238	101.11	6164779.0	1.66	3004590.0	24317242.0	7256.0	5044.0	6102429.0	0.0	0.1	1.47	34826.0	0	0.0	41644.0	12.36
SRR6703976_time_107FR_1_val_1	99.0	85.77	5904967.0	20702381.0	0.0	0.15	1.27	470021	0.14	21693	99.16	5956426.0	1.95	2909740.0	24137569.0	6796.0	4889.0	5898806.0	0.0	0.09	1.47	33734.0	0	0.0	39774.0	12.05
SRR6703977_time_107SRN_1_val_1	101.0	85.37	4008358.0	14490256.0	0.01	0.14	1.31	200884	0.14	15322	101.26	4042825.0	1.18	2244130.0	16973946.0	4075.0	3319.0	4002787.0	0.0	0.09	1.47	23354.0	0	0.0	27073.0	13.22
SRR6703978_time_109SR_1_val_1	101.0	83.54	3671944.0	13536697.0	0.0	0.15	1.34	262254	0.17	16188	101.11	3705256.0	1.62	2362021.0	16204507.0	4887.0	2900.0	3664836.0	0.0	0.1	1.5	27347.0	0	0.0	25525.0	14.58
SRR6703979_time_109FR_1_val_1	49.0	78.07	2494297.0	21121730.0	0.0	0.17	1.33	86521	0.79	110855	49.48	2517735.0	0.32	5521368.0	27054391.0	3837.0	2284.0	2485155.0	0.0	0.41	1.48	213917.0	0	0.0	17317.0	20.41
SRR6703980_time_110SR_1_val_1	101.0	86.14	3356965.0	13741032.0	0.0	0.16	1.33	315356	0.2	19113	101.09	3388626.0	1.98	1845674.0	15952672.0	5462.0	2971.0	3350435.0	0.0	0.12	1.51	31497.0	0	0.0	23228.0	11.57
SRR6703981_time_110FR_1_val_1	49.0	80.85	2997455.0	28464255.0	0.0	0.18	1.3	126828	0.88	172627	49.46	3027234.0	0.36	6133642.0	35205493.0	5606.0	2854.0	2986986.0	0.0	0.49	1.48	308141.0	0	0.0	21319.0	17.42
SRR6703982_frozen_501_1_val_1	101.0	79.6	4907049.0	18210959.0	0.0	0.17	1.33	413070	0.18	25104	101.0	4949882.0	1.81	4186933.0	22876752.0	5058.0	3923.0	4899048.0	0.0	0.11	1.46	40686.0	0	0.0	33852.0	18.3
SRR6703983_frozen_501f_1_val_1	101.0	85.88	5043914.0	19365190.0	0.0	0.17	1.29	315989	0.19	27085	101.2	5088356.0	1.4	2798284.0	22549187.0	6134.0	4096.0	5029529.0	0.0	0.12	1.46	42639.0	0	0.0	34212.0	12.41
SRR6703984_frozen_506_1_val_1	101.0	81.94	4624130.0	17125328.0	0.0	0.16	1.33	366318	0.17	23026	101.17	4664316.0	1.75	3349054.0	20898745.0	4862.0	3688.0	4616109.0	0.0	0.11	1.47	35019.0	0	0.0	31636.0	16.03
SRR6703985_frozen_506f_1_val_1	101.0	84.69	5519793.0	19983108.0	0.0	0.16	1.3	341022	0.18	28418	101.17	5567974.0	1.44	3198976.0	23595125.0	6310.0	4382.0	5499472.0	0.0	0.12	1.46	43601.0	0	0.0	37489.0	13.56
SRR6703986_frozen_507_1_val_1	101.0	80.54	4449143.0	18117847.0	0.0	0.18	1.34	499195	0.17	26984	101.04	4488968.0	2.22	3812636.0	22494631.0	5304.0	3485.0	4441170.0	0.0	0.12	1.48	37969.0	0	0.0	31036.0	16.95
SRR6703987_frozen_507f_1_val_1	101.0	84.39	5773205.0	23476251.0	0.0	0.18	1.33	409585	0.16	30649	101.12	5823367.0	1.47	3858807.0	27819223.0	6636.0	4537.0	5757138.0	0.0	0.11	1.47	43931.0	0	0.0	38989.0	13.87
SRR6703988_frozen_510_1_val_1	101.0	83.8	4851359.0	19136855.0	0.0	0.15	1.33	443894	0.2	29745	101.11	4894579.0	1.94	3180627.0	22837288.0	5516.0	3866.0	4841630.0	0.0	0.13	1.46	46167.0	0	0.0	33838.0	13.93
SRR6703989_frozen_510f_1_val_1	101.0	84.22	3579200.0	17313437.0	0.0	0.16	1.32	392006	0.18	24758	101.16	3610724.0	1.9	2788738.0	20556253.0	4370.0	2809.0	3567007.0	0.0	0.12	1.45	37314.0	0	0.0	24345.0	13.57
